id,session_id,path,product_id,timestamp
"6dddf852-1244-4b31-a8e0-ac354420768e","oTrlyI2rkxJKkQL4_CyDeUAy7xvlaYBl","/",,"""2025-11-18T22:42:10.502Z"""
"7f77b246-70e7-4998-83ff-786289404ec3","oTrlyI2rkxJKkQL4_CyDeUAy7xvlaYBl","/",,"""2025-11-18T22:42:58.634Z"""
"0461a431-590c-4aa2-85fd-76673545caa3","oTrlyI2rkxJKkQL4_CyDeUAy7xvlaYBl","/",,"""2025-11-18T22:45:31.090Z"""
"759f7c3c-6326-4703-b4c2-6d6a16c8a17e","1Xl-bUZTUSpV4bKVoVb6lJMbo28Pxq-W","/",,"""2025-11-19T08:59:34.633Z"""
"128862d7-879f-4e60-859c-66e017b4998c","NVcXsTzjNn5rCqhJHGat3EAnErMtcGAm","/",,"""2025-11-19T09:00:49.690Z"""
"643af9eb-8821-457c-842d-1f34e9d71eaa","BG54s-c-ics_j99P_T2FJAhFSf-bP4td","/",,"""2025-11-19T09:37:50.102Z"""
"4e29f25a-8bc4-4438-b688-916956cd3439","WVBLmLpq9R807hfHDTfjO-bdktHRYl-9","/",,"""2025-11-19T09:37:50.141Z"""
"771b66cf-67f6-415b-b7b3-4197f8d4c8c4","s2LJOAHxvm-54txkqRs65_Gb05usU1r8","/",,"""2025-11-19T10:21:52.912Z"""
"5e623b13-3125-4031-a519-44c16db57895","8zhYn8yy3G1B3ET3RnAFMyeMgyvf-xp6","/",,"""2025-11-19T10:21:52.922Z"""
"d7b02a36-d283-43f0-b757-85b5299a86ce","XhOAo1XGnJSWiOuGmibjpth0ck-HcpB_","/",,"""2025-11-19T17:01:01.324Z"""
"55e8edb5-e4eb-45bf-a8ee-70b6ab9a67b1","Xl7FoxJcWl9UR03HT7SkRpz-MWMQs3Hx","/",,"""2025-11-19T17:01:01.337Z"""
"a69facf9-40c2-4801-9377-aad7edd52859","Xl7FoxJcWl9UR03HT7SkRpz-MWMQs3Hx","/",,"""2025-11-19T17:02:41.422Z"""
"3d80c061-da4f-4c9d-9d34-e0e19aa39773","Xl7FoxJcWl9UR03HT7SkRpz-MWMQs3Hx","/",,"""2025-11-19T17:03:37.050Z"""
"776ea087-fada-44c2-96f0-176295cbde98","tX3d1VzfqR5p_Hci3KbKGaEsHFem4kK6","/",,"""2025-11-19T17:04:48.589Z"""
"3f59fd8b-9db7-4cbf-b634-6fbbc5f7c5f9","3MrmzXokCfhGbLh6HBm9QvMCkHpwlv38","/",,"""2025-11-19T17:04:51.714Z"""
"dec787f4-c24a-48f9-8a3e-93d2938c18c3","T7qhVsyvrT-k3P83brGXDAAhXfoHPlzk","/",,"""2025-11-19T17:05:10.326Z"""
"d3f53f16-898c-4546-931e-c60628ea1c68","IuKDPcmn5m8YLXb_N9eYBBjFtRk80x-s","/",,"""2025-11-19T17:05:11.811Z"""
"54050181-fac5-443d-944a-65ad562cc757","kC_5J6gZneWaTJwAimZ1etbtGiDK7gs6","/",,"""2025-11-19T17:09:20.456Z"""
"ef923e29-8305-4e98-8e8a-ed61d0409ad1","zrfpNHM_9PhjUhPUrdLWv3A5mHRU4Rw5","/",,"""2025-11-19T17:09:20.841Z"""
"6845e49c-705c-402b-be27-9f0e92b105c0","lqSt-3eJwkWS1P1s58sGozIgTqNGIdEX","/",,"""2025-11-19T17:10:12.875Z"""
