id,product_id,name,value,price,stock_quantity,image,created_at
"644b6511-ada9-433c-866b-0cd11ea41820","2865bc55-4d48-461f-9ac3-0db1460783f8","Wheel Size","27.5 Inch","499.99","0",,"""2025-11-16T08:07:51.724Z"""
"7e6a29aa-e329-43aa-b031-e819b531734a","2865bc55-4d48-461f-9ac3-0db1460783f8","Wheel Size","29 Inch","539.99","6",,"""2025-11-16T08:07:51.724Z"""
"0515fa57-907b-4e97-8f80-4a2a3032c424","2478ea1f-fca5-4347-9634-ce55a18979ae","Battery","Single Battery","684.99","10",,"""2025-11-16T08:07:53.797Z"""
"9baed551-4d2e-4c00-b4d0-02cf33f9c057","2478ea1f-fca5-4347-9634-ce55a18979ae","Battery","Double Battery","839.99","10",,"""2025-11-16T08:07:53.797Z"""
"688e5609-bff6-418e-a1e4-f66628313451","9a7fe494-eeaf-4b47-939d-233bfbd01cff","Color","White","359.99","5",,"""2025-11-16T08:08:56.644Z"""
"c811f97b-097f-4e6e-8244-786033939adc","9a7fe494-eeaf-4b47-939d-233bfbd01cff","Color","Black","359.99","5","/assets/IMG_5341_1763214654415.jpeg","""2025-11-16T08:08:56.644Z"""
"888af76f-0359-442c-aceb-b38f87f118b6","00b6dea8-85bd-45bc-a2fc-c7095b2c1e23","Color","Black","1129.99","8","/products/engwe-engine-pro-2-0/1.png","""2025-11-16T08:07:56.839Z"""
"219de014-98bf-4595-959f-e8e4bfe013e6","00b6dea8-85bd-45bc-a2fc-c7095b2c1e23","Color","Blue","1129.99","8","/products/engwe-engine-pro-2-0/1.png","""2025-11-16T08:07:56.839Z"""
"bd2bbc34-6507-45e9-9f05-e2fab0ec581d","ad931533-71ec-4192-bbfe-2f640401b177","Color","White","474.99","0","/products/engwe-t14/2.png","""2025-11-16T04:10:15.320Z"""
"da588590-d3b4-415f-9a95-61ef2b9423e2","ad931533-71ec-4192-bbfe-2f640401b177","Color","Blue","474.99","0","/products/engwe-t14/2.png","""2025-11-16T04:10:15.320Z"""
