id,session_id,event_type,product_id,order_id,timestamp
"e6ac432d-3458-49df-b8ea-692b89e0723d","session-391","add_to_cart","ad931533-71ec-4192-bbfe-2f640401b177",,"""2025-11-18T00:45:31.531Z"""
"211454ad-eb7d-4166-a4fe-3d21e6059c2d","session-428","add_to_cart","ad931533-71ec-4192-bbfe-2f640401b177",,"""2025-11-19T06:55:55.837Z"""
"3b7ce034-e5a1-454d-b7a5-99c040f29663","session-440","add_to_cart","ad931533-71ec-4192-bbfe-2f640401b177",,"""2025-11-20T06:52:36.052Z"""
"b9728f54-00c9-4f75-8b50-a7ce607295dc","session-492","add_to_cart","ad931533-71ec-4192-bbfe-2f640401b177",,"""2025-11-12T02:50:56.623Z"""
"ffe43f0e-4199-45d5-a9ea-6786e7b85a5f","session-452","add_to_cart","ad931533-71ec-4192-bbfe-2f640401b177",,"""2025-11-21T22:54:41.451Z"""
"11b1a703-936c-47ff-b45f-85f3d3221c63","session-432","add_to_cart","ad931533-71ec-4192-bbfe-2f640401b177",,"""2025-11-18T14:36:10.967Z"""
"72bd2e07-2e5f-47bf-a445-d53203ace933","session-325","add_to_cart","ad931533-71ec-4192-bbfe-2f640401b177",,"""2025-11-30T04:43:09.943Z"""
"9d9837ce-f0a0-4313-abc5-77be5438152f","session-439","add_to_cart","ad931533-71ec-4192-bbfe-2f640401b177",,"""2025-11-06T15:20:04.178Z"""
"f6c4f015-5756-48f7-9c1a-cf4227667359","session-186","add_to_cart","ad931533-71ec-4192-bbfe-2f640401b177",,"""2025-11-29T03:53:12.477Z"""
"3f2a51f5-10eb-4e54-bb04-db22d0ea1731","session-145","add_to_cart","ad931533-71ec-4192-bbfe-2f640401b177",,"""2025-11-08T02:14:49.565Z"""
"608b1444-c799-43a0-92fd-4cb5309aecef","session-408","add_to_cart","ad931533-71ec-4192-bbfe-2f640401b177",,"""2025-12-02T16:23:24.210Z"""
"e07a6a9f-3a24-4f19-b394-5afe7fa2d86d","session-384","add_to_cart","ad931533-71ec-4192-bbfe-2f640401b177",,"""2025-11-27T09:40:58.185Z"""
"e1a2617b-393c-482e-a40d-3fda44c49576","session-386","add_to_cart","ad931533-71ec-4192-bbfe-2f640401b177",,"""2025-11-08T00:59:59.838Z"""
